Name,Alternate Name,Position,Team,Minutes,Age,Height,Weight,Offensive Role,Perimeter Shot,Grade,Off-Ball Movement,Grade,One on One,Grade,Finishing,Grade,Roll Gravity,Grade,Playmaking,Grade,Post Play,Grade,Perimeter Defense,Grade,Interior Defense,Grade,OReb,Grade,DReb,Grade,Usage,Grade,Self Creation,Grade,Year,Advanced Position
A.J. Price,AJ Price,PG,CLE,324,28,2-Jun,195,Mega Creators,0.526,C,0.146,F,0.489,C,0.042,F,0.063,F,0.672,B,0,F,0.259,D-,0.138,F,0.302,D,0.211,D-,0.454,Low,0.6699,High,2014-15,Guard
John Jenkins,John Jenkins,SG,ATL,318,24,4-Jun,215,Movement Wings,0.852,A-,0.98,A,0.239,D-,0.426,C-,0.128,F,0.167,F,0.203,D-,0.707,B,0.331,D,0.063,F,0.217,D-,0.24,Low,0.0792,Low,2014-15,Wing
Raymond Felton,Raymond Felton,PG,DAL,317,31,1-Jun,205,Primary Creators,0.425,C-,0.071,F,0.793,B+,0.312,D,0.079,F,0.698,B,0,F,0.663,B,0.595,C+,0.067,F,0.369,D+,0.354,Low,0.6628,High,2014-15,Guard
Nick Johnson,Nick Johnson,SG,HOU,311,22,3-Jun,202,Spot-up Wings,0.378,D+,0.312,D,0.406,C-,0.205,D-,0.203,D-,0.12,F,0.641,B-,0.427,C-,0.466,C,0.611,B-,0.345,D+,0.219,Low,0.3046,Medium,2014-15,Guard
Darius Morris,Darius Morris,PG,BRK,304,24,4-Jun,195,Primary Creators,0.392,D+,0.383,D+,0.558,C+,0.285,D,0.124,F,0.756,B+,0.432,C-,0.654,B-,0.127,F,0.4,D+,0.195,F,0.341,Low,0.6998,High,2014-15,Guard
Josh McRoberts,Josh McRoberts,PF,MIA,296,28,10-Jun,240,Tall Spot-up Wings,0.445,C-,0.249,D-,0.193,F,0.461,C,0.716,B,0.846,A-,0.497,C,0.559,C+,0.422,C-,0.544,C+,0.258,D-,0.248,Low,0.1695,Low,2014-15,Big
Gerald Wallace,Gerald Wallace,SF,BOS,290,32,7-Jun,220,Glue Guys,0.268,D,0.511,C,0.089,F,0.193,F,0.416,C-,0.083,F,0.387,D+,0.591,C+,0.325,D,0.698,B,0.771,B+,0.095,Low,0.2083,Low,2014-15,Wing
Brandon Rush,Brandon Rush,SG,GSW,278,29,6-Jun,220,Movement Wings,0.358,D+,0.144,F,0.337,D,0.078,F,0.081,F,0.063,F,0.245,D-,0.318,D,0.07,F,0.231,D-,0.797,B+,0.097,Low,0.2941,Medium,2014-15,Wing
John Lucas III,John Lucas III,PG,DET,272,32,11-May,166,Primary Creators,0.413,C-,0.148,F,0.361,D+,0.057,F,0.059,F,0.932,A,0,F,0.626,B-,0.15,F,0.258,D-,0.069,F,0.43,Low,0.7389,High,2014-15,Guard
John Salmons,John Salmons,SF,NOP,270,35,6-Jun,210,Secondary Creators,0.402,C-,0.057,F,0.211,D-,0.006,F,0.057,F,0.079,F,0,F,0.54,C+,0.2,F,0.174,F,0.132,F,0.098,Low,0.3958,Medium,2014-15,Wing
Joffrey Lauvergne,Joffrey Lauvergne,C,DEN,268,23,11-Jun,220,Glue Guys,0.329,D,0.122,F,0.288,D,0.694,B,0.819,A-,0.267,D,0.824,A-,0.394,D+,0.651,B-,0.874,A-,0.712,B,0.306,Low,0.1789,Low,2014-15,Big
Jeremy Evans,Jeremy Evans,SF,UTA,266,27,9-Jun,200,Roll + Cut Bigs,0.299,D,0.623,B-,0.051,F,0.83,A-,0.868,A-,0.253,D-,0.477,C,0.611,B-,0.811,A-,0.815,A-,0.469,C,0.142,Low,0.082,Low,2014-15,Wing
Glenn Robinson III,Glenn Robinson,SG,PHI,261,21,7-Jun,222,,0.364,D+,0.128,F,0.357,D+,0,F,0.154,F,0.139,F,0.562,C+,0.302,D,0.151,F,0.7,B,0.499,C,0.11,Low,0.2885,Medium,2014-15,Wing
Glenn Robinson,Glenn Robinson III,SG,WAS,261,21,7-Jun,222,,0.364,D+,0.037,F,0.203,D-,0,F,0.183,F,0.139,F,0.276,D,0.302,D,0.151,F,0.7,B,0.499,C,0.189,Low,0.2791,Medium,2014-15,Wing
Jeff Withey,Jeff Withey,C,NOP,259,25,7-0,222,Roll + Cut Bigs,0.002,F,0.915,A,0.055,F,0.352,D+,0.675,B,0.223,D-,0.489,C,0.192,F,0.838,A-,0.809,A-,0.402,C-,0.208,Low,0.0611,Low,2014-15,Big
Noah Vonleh,Noah Vonleh,PF,CHO,259,19,10-Jun,240,Versatile Bigs,0.388,D+,0.252,D-,0.172,F,0.358,D+,0.649,B-,0.047,F,0.582,C+,0.316,D,0.75,B+,0.933,A,0.909,A,0.224,Low,0.2717,Medium,2014-15,Big
Jordan Adams,Jordan Adams,SG,MEM,258,20,5-Jun,209,Glue Guys,0.516,C,0.223,D-,0.205,D-,0.245,D-,0.187,F,0.416,C-,0.359,D+,0.773,B+,0.273,D,0.69,B,0.391,D+,0.273,Low,0.2222,Low,2014-15,Guard
JaVale McGee,JaVale McGee,C,SAC,256,27,7-0,270,,0.002,F,0.375,D+,0.162,F,0.706,B,0.87,A-,0.131,F,0.436,C-,0.039,F,0.683,B,0.655,B-,0.444,C-,0.25,Low,0.3864,Medium,2014-15,Big
Chuck Hayes,Chuck Hayes,C,IND,255,27,7-0,270,,0.002,F,0.402,C-,0.061,F,0.145,F,0.692,B,0.357,D+,0.333,D,0.377,D+,0.313,D,0.602,B-,0.3,D,0.086,Low,0.0208,Low,2014-15,Big
Nate Wolters,Nate Wolters,PG,MIL,247,32,6-Jun,240,Secondary Creators,0.242,D-,0.162,F,0.381,D+,0.13,F,0.16,F,0.214,D-,0,F,0.688,B,0.496,C,0.499,C,0.396,D+,0.183,Low,0.5226,High,2014-15,Guard
Ricky Ledo,Ricky Ledo,SG,NYK,244,24,4-Jun,190,Secondary Creators,0.508,C,0.677,B,0.32,D,0.258,D-,0.174,F,0.381,D+,0.347,D+,0.52,C,0.211,D-,0.736,B,0.562,C+,0.456,Low,0.3717,Medium,2014-15,Wing
Tim Frazier,Tim Frazier,PG,POR,242,22,7-Jun,195,Primary Creators,0.356,D+,0.43,C-,0.229,D-,0.197,F,0.118,F,0.958,A,0,F,0.647,B-,0.14,F,0.162,F,0.31,D,0.429,Low,0.6356,High,2014-15,Guard
Dwight Powell,Dwight Powell,PF,DAL,239,24,1-Jun,170,Pick + Pop Bigs,0.327,D,0.799,B+,0.318,D,0.677,B,0.653,B-,0.139,F,0.744,B+,0.538,C,0.557,C+,0.773,B+,0.779,B+,0.204,Low,0.1067,Low,2014-15,Big
Luigi Datome,Gigi Datome,SF,TOR,223,23,11-Jun,240,,0.746,B+,0.83,A-,0.398,D+,0.21,D-,0.276,D,0.327,D,0.252,D-,0.227,D-,0.257,D-,0.061,F,0.611,B-,0.303,Low,0.1446,Low,2014-15,Wing
Larry Drew,Larry Drew II,PG,NYK,219,27,8-Jun,215,,0.374,D+,0.043,F,0.213,D-,0,F,0.065,F,0.677,B,0,F,0.427,C-,0.32,D,0.079,F,0.158,F,0.411,Low,0.5667,High,2014-15,Guard
Clint Capela,Clint Capela,C,HOU,217,25,2-Jun,180,Roll + Cut Bigs,0.002,F,0.627,B-,0.118,F,0.642,B-,0.866,A-,0.053,F,0.355,D+,0.272,D,0.831,A-,0.813,A-,0.805,A-,0.178,Low,0.0556,Low,2014-15,Big
Landry Fields,Landry Fields,SF,TOR,216,21,10-Jun,240,Glue Guys,0.264,D,0.698,B,0.284,D,0.516,C,0.243,D-,0.225,D-,0.345,D+,0.717,B,0.455,C-,0.633,B-,0.621,B-,0.085,Low,0.3141,Medium,2014-15,Wing
Jeff Adrien,Jeff Adrien,PF,HOU,215,27,7-Jun,215,,0.002,F,0.414,C-,0.134,F,0.304,D,0.619,B-,0.234,D-,0.746,B+,0.165,F,0.834,A-,0.927,A,0.99,A,0.175,Low,0.2244,Low,2014-15,Big
Devyn Marble,Devyn Marble,SG,ORL,208,29,-,-,Spot-up Wings,0.352,D+,0.458,C-,0.26,D-,0.055,F,0.136,F,0.38,D+,0,F,0.59,C+,0.636,B-,0.339,D,0.744,B+,0.139,Low,0.2174,Low,2014-15,Wing
Francisco Garcia,Francisco Garcia,SF,HOU,200,22,6-Jun,200,Spot-up Wings,0.429,C-,0.063,F,0.219,D-,0.111,F,0,F,0.332,D,0,F,0.675,B,0.409,C-,0.15,F,0.063,F,0.252,Low,0.2536,Medium,2014-15,Wing
Cartier Martin,Cartier Martin,SF,IND,198,33,7-Jun,215,,0.39,D+,0.213,D-,0.195,F,0.034,F,0.061,F,0.216,D-,0,F,0.291,D,0.158,F,0.116,F,0.856,A-,0.103,Low,0.1474,Low,2014-15,Wing
Steve Novak,Steve Novak,SF,OKC,197,30,7-Jun,220,Spot-up Wings,0.78,B+,0.11,F,0.032,F,0,F,0.245,D-,0.129,F,0,F,0.178,F,0.264,D,0.148,F,0.057,F,0.122,Low,0.0392,Low,2014-15,Wing
Malcolm Thomas,Malcolm Thomas,PF,PHI,194,32,10-Jun,225,Versatile Bigs,0.199,F,0.373,D+,0,F,0.713,B,0.613,B-,0.051,F,0.467,C,0.215,D-,0.114,F,0.771,B+,0.781,B+,0.153,Low,0.1935,Low,2014-15,Big
Ian Clark,Ian Clark,SG,DEN,192,26,9-Jun,225,Secondary Creators,0.431,C-,0.124,F,0.243,D-,0.187,F,0.071,F,0.251,D-,0,F,0.666,B,0.386,D+,0.475,C,0.045,F,0.175,Low,0.2717,Medium,2014-15,Guard
Jorge Gutierrez,Jorge Gutierrez,PG,MIL,187,24,3-Jun,180,Glue Guys,0.175,F,0.759,B+,0.201,D-,0.384,D+,0.172,F,0.401,C-,0,F,0.68,B,0.15,F,0.519,C,0.714,B,0.205,Low,0.3118,Medium,2014-15,Guard
DeJuan Blair,DeJuan Blair,PF,WAS,180,26,3-Jun,195,Versatile Bigs,0.002,F,0.049,F,0.116,F,0.319,D,0.667,B,0.072,F,0.584,C+,0.393,D+,0.136,F,0.751,B+,0.89,A-,0.179,Low,0.24,Low,2014-15,Big
Toney Douglas,Toney Douglas,SG,NOP,177,26,7-Jun,270,Primary Creators,0.376,D+,0.446,C-,0.353,D+,0.801,A-,0.093,F,0.777,B+,0,F,0.864,A-,0.671,B,0.043,F,0.558,C+,0.323,Low,0.5531,High,2014-15,Guard
JaMychal Green,JaMychal Green,PF,BOS,172,29,2-Jun,195,,0.246,D-,0.337,D,0.142,F,0.885,A-,0.736,B,0.146,F,0.88,A-,0.394,D+,0.204,D-,0.99,A,0.799,B+,0.178,Low,0.2623,Medium,2014-15,Wing
Bernard James,Bernard James,C,DAL,160,25,8-Jun,230,Roll + Cut Bigs,0.002,F,0.452,C-,0.156,F,0.247,D-,0.631,B-,0.108,F,0.444,C-,0.214,D-,0.855,A-,0.963,A,0.6,B-,0.083,Low,0.0806,Low,2014-15,Big
Bryce Cotton,Bryce Cotton,PG,UTA,159,30,10-Jun,235,Primary Creators,0.433,C-,0.493,C,0.418,C-,0.107,F,0.221,D-,0.346,D+,0.306,D,0.493,C,0.151,F,0.507,C,0.706,B,0.394,Low,0.5185,High,2014-15,Guard
James Michael McAdoo,James Michael McAdoo,PF,GSW,147,22,1-Jun,165,Roll + Cut Bigs,0.002,F,0.538,C,0.185,F,0.654,B-,0.673,B,0.074,F,0.527,C,0.466,C,0.582,C+,0.895,A-,0.527,C,0.196,Low,0.1569,Low,2014-15,Big
Earl Barron,Earl Barron,C,PHO,143,22,9-Jun,230,Pick + Pop Bigs,0.301,D,0.481,C,0.057,F,0.088,F,0.365,D+,0.086,F,0.286,D,0.368,D+,0.341,D+,0.667,B,0.408,C-,0.145,Low,0.0939,Low,2014-15,Big
Nazr Mohammed,Nazr Mohammed,C,CHI,142,33,7-0,250,Roll + Cut Bigs,0.002,F,0.065,F,0.081,F,0.591,C+,0.598,C+,0.069,F,0.501,C,0.343,D+,0.793,B+,0.85,A-,0.982,A,0.09,Low,0.1531,Low,2014-15,Big
Dahntay Jones,Dahntay Jones,SF,LAC,141,37,10-Jun,250,Tall Creators,0.232,D-,0.205,D-,0.122,F,0.226,D-,0.132,F,0.058,F,0.327,D,0.531,C,0.253,D-,0.037,F,0.4,D+,0.048,Low,0.3947,Medium,2014-15,Wing
Ekpe Udoh,Ekpe Udoh,PF,LAC,140,34,6-Jun,225,Versatile Bigs,0.002,F,0.168,F,0.077,F,0.122,F,0.452,C-,0.174,F,0.367,D+,0.542,C+,0.426,C-,0.54,C,0.331,D,0.086,Low,0.5926,High,2014-15,Big
Jarnell Stokes,Jarnell Stokes,PF,MEM,126,28,10-Jun,245,Versatile Bigs,0.002,F,0.42,C-,0.181,F,0.727,B,0.578,C+,0.163,F,0.807,A-,0.475,C,0.206,D-,0.945,A,0.12,F,0.211,Low,0.2609,Medium,2014-15,Big
Shavlik Randolph,Shavlik Randolph,PF,PHO,126,21,9-Jun,263,Roll + Cut Bigs,0.191,F,0.13,F,0.112,F,0.168,F,0.471,C,0.091,F,0.753,B+,0.456,C-,0.445,C-,0.872,A-,0.645,B-,0.117,Low,0.1047,Low,2014-15,Big
Dwight Buycks,Dwight Buycks,PG,LAL,123,31,10-Jun,236,Mega Creators,0.398,D+,0.032,F,0.724,B,0.143,F,0,F,0.351,D+,0,F,0.431,C-,0.075,F,0.077,F,0.416,C-,0.431,Low,0.7755,High,2014-15,Guard
Jordan Hamilton,Jordan Hamilton,SF,LAC,122,26,3-Jun,190,Spot-up Wings,0.492,C,0.118,F,0.274,D,0.04,F,0.067,F,0.247,D-,0,F,0.451,C-,0.114,F,0.14,F,0.442,C-,0.129,Low,0.3416,Medium,2014-15,Wing
Brendan Haywood,Brendan Haywood,C,CLE,121,24,7-Jun,220,Versatile Bigs,0.002,F,0.262,D,0.037,F,0.119,F,0.493,C,0.084,F,0.714,B,0.144,F,0.655,B-,0.428,C-,0.961,A,0.133,Low,0.457,Medium,2014-15,Big
Quincy Miller,Quincy Miller,PF,DET,119,35,7-0,263,Spot-up Wings,0.335,D,0.495,C,0.126,F,0.113,F,0.32,D,0.19,F,0.331,D,0.661,B,0.84,A-,0.243,D-,0.306,D,0.215,Low,0.1351,Low,2014-15,Wing
Elliot Williams,Elliot Williams,SG,PHI,119,22,9-Jun,210,,0.457,C-,0.097,F,0.14,F,0.061,F,0.077,F,0.539,C,0,F,0.579,C+,0.213,D-,0.03,F,0.347,D+,0.224,Low,0.295,Medium,2014-15,Wing
Shayne Whittington,Shayne Whittington,PF,IND,108,26,-,-,Versatile Bigs,0.285,D,0.136,F,0.11,F,0.386,D+,0.454,C-,0.23,D-,0.931,A,0.494,C,0.043,F,0.706,B,0.452,C-,0.272,Low,0.261,Medium,2014-15,Big
Earl Clark,Earl Clark,PF,BRK,106,24,11-Jun,250,Pick + Pop Bigs,0.348,D+,0.087,F,0.079,F,0.099,F,0.341,D+,0.038,F,0.28,D,0.59,C+,0.774,B+,0.195,F,0.923,A,0.208,Low,0.0877,Low,2014-15,Big
Reggie Williams,Reggie Williams,SF,SAS,105,27,10-Jun,234,Spot-up Wings,0.337,D,0.152,F,0.314,D,0.373,D+,0.148,F,0.401,C-,0.396,D+,0.306,D,0.058,F,0.73,B,0.659,B-,0.206,Low,0.2432,Low,2014-15,Wing
Kenyon Martin,Kenyon Martin,PF,MIL,104,28,6-Jun,205,Roll + Cut Bigs,0.002,F,0.085,F,0.03,F,0.065,F,0.44,C-,0.167,F,0.363,D+,0.515,C,0.613,B-,0.377,D+,0.688,B,0.066,Low,0.0446,Low,2014-15,Big
Chris Douglas-Roberts,Chris Douglas-Roberts,SG,IND,103,37,9-Jun,225,,0.287,D,0.041,F,0.286,D,0.08,F,0,F,0.103,F,0,F,0.195,F,0.057,F,0.136,F,0.724,B,0.051,Low,0.2469,Low,2014-15,Wing
CJ Wilcox,C.J. Wilcox,SG,TOR,101,28,7-Jun,210,,0.439,C-,0.44,C-,0.347,D+,0.05,F,0,F,0.409,C-,0,F,0.378,D+,0.1,F,0.065,F,0.024,F,0.232,Low,0.2872,Medium,2014-15,Guard
Will Bynum,Will Bynum,SG,WAS,98,24,5-Jun,195,Mega Creators,0.266,D,0.028,F,0.268,D,0.216,D-,0.075,F,0.848,A-,0,F,0.515,C,0.155,F,0.609,B-,0.138,F,0.396,Low,0.7273,High,2014-15,Guard
Lester Hudson,Lester Hudson,SG,LAC,94,32,6-0,185,Secondary Creators,0.343,D+,0.055,F,0.101,F,0.117,F,0,F,0.193,F,0,F,0.752,B+,0.14,F,0.045,F,0.448,C-,0.234,Low,0.4437,Medium,2014-15,Wing
Paul George,Paul George,SF,IND,91,30,3-Jun,190,Secondary Creators,0.496,C,0.181,F,0.302,D,0.18,F,0.323,D,0.271,D,0.46,C,0.79,B+,0.434,C-,0.777,B+,0.732,B,0.45,Low,0.4398,Medium,2014-15,Wing
Shannon Brown,Shannon Brown,SG,MIA,89,25,9-Jun,220,Secondary Creators,0.368,D+,0.069,F,0.276,D,0.126,F,0.073,F,0.037,F,0,F,0.792,B+,0.32,D,0.018,F,0.168,F,0.126,Low,0.5,High,2014-15,Wing
Jared Cunningham,Jared Cunningham,SG,LAC,89,29,3-Jun,215,Spot-up Wings,0.354,D+,0.258,D-,0.114,F,0.067,F,0.112,F,0.571,C+,0.262,D,0.6,C+,0.159,F,0.081,F,0.673,B,0.278,Low,0.2848,Medium,2014-15,Guard
Jack Cooley,Jack Cooley,C,DAL,87,24,4-Jun,195,,0.002,F,0.229,D-,0.047,F,0.239,D-,0.458,C-,0.09,F,0.45,C-,0.531,C,0.161,F,0.941,A,0.953,A,0.11,Low,0.1293,Low,2014-15,Big
Xavier Henry,Xavier Henry,SF,LAL,86,24,9-Jun,246,Secondary Creators,0.002,F,0.292,D,0.166,F,0.031,F,0,F,0.072,F,0,F,0.635,B-,0.09,F,0.426,C-,0.018,F,0.098,Low,0.2959,Medium,2014-15,Wing
Victor Claver,Victor Claver,SF,POR,76,24,6-Jun,220,Pick + Pop Bigs,0.4,C-,0.075,F,0.043,F,0.036,F,0.333,D,0.037,F,0,F,0.223,D-,0.657,B-,0.511,C,0.903,A,0.075,Low,0.0455,Low,2014-15,Wing
Zoran Dragic,Zoran Dragic,SG,MIA,75,26,9-Jun,224,Tall Creators,0.331,D,0.077,F,0.197,F,0.407,C-,0.134,F,0.237,D-,0,F,0.413,C-,0.073,F,0.617,B-,0.174,F,0.224,Low,0.2941,Medium,2014-15,Wing
Vander Blue,Vander Blue,SG,LAL,74,26,5-Jun,200,Secondary Creators,0.319,D,0.134,F,0.187,F,0.17,F,0.126,F,0.493,C,0,F,0.558,C+,0.524,C,0.181,F,0.118,F,0.465,Low,0.3548,Medium,2014-15,Guard
Jannero Pargo,Jannero Pargo,PG,CHO,73,22,4-Jun,200,Secondary Creators,0.498,C,0.142,F,0.097,F,0.008,F,0,F,0.617,B-,0,F,0.341,D+,0.188,F,0.028,F,0.03,F,0.32,Low,0.5363,High,2014-15,Guard
Sean Kilpatrick,Sean Kilpatrick,SG,MIN,72,35,1-Jun,185,Spot-up Wings,0.36,D+,0.089,F,0.041,F,0.048,F,0.069,F,0.28,D,0,F,0.642,B-,0.125,F,0.132,F,0.02,F,0.161,Low,0.0704,Low,2014-15,Wing
Ognjen Kuzmic,Ognjen Kuzmic,C,GSW,72,25,4-Jun,210,Roll + Cut Bigs,0.002,F,0.158,F,0,F,0.149,F,0.31,D,0.221,D-,0.686,B,0.224,D-,0.048,F,0.858,A-,0.039,F,0.056,Low,0.0855,Low,2014-15,Big
Drew Gordon,Drew Gordon,PF,PHI,71,25,7-0,260,Roll + Cut Bigs,0.228,D-,0.156,F,0.034,F,0.203,D-,0.444,C-,0.048,F,0.759,B+,0.202,D-,0.501,C,0.884,A-,0.302,D,0.135,Low,0.1914,Low,2014-15,Big
Will Cherry,Will Cherry,PG,TOR,69,24,9-Jun,245,,0.313,D,0.047,F,0.108,F,0.046,F,0,F,0.239,D-,0,F,0.681,B,0.374,D+,0.124,F,0.022,F,0.2,Low,0.1724,Low,2014-15,Guard
Arinze Onuaku,Arinze Onuaku,C,MIN,68,24,-,-,Versatile Bigs,0.002,F,0.114,F,0.063,F,0.688,B,0.316,D,0.305,D,0.795,B+,0.133,F,0.086,F,0.892,A-,0.921,A,0.098,Low,0.2381,Low,2014-15,Big
Russ Smith,Russ Smith,PG,MEM,68,27,9-Jun,275,Primary Creators,0.323,D,0.105,F,0.294,D,0.059,F,0,F,0.33,D,0,F,0.654,B-,0.227,D-,0.331,D,0.436,C-,0.306,Low,0.6105,High,2014-15,Guard
Greg Stiemsma,Greg Stiemsma,C,TOR,68,24,6-0,165,Roll + Cut Bigs,0.002,F,0.199,F,0,F,0.174,F,0.31,D,0.156,F,0.341,D+,0.296,D,0.493,C,0.937,A,0.412,C-,0.065,Low,0,Low,2014-15,Big
Cameron Bairstow,Cameron Bairstow,PF,IND,64,29,11-Jun,260,,0.002,F,0.03,F,0.067,F,0.124,F,0.205,D-,0.063,F,0.448,C-,0.264,D,0.474,C,0.769,B+,0.15,F,0.047,Low,0.1124,Low,2014-15,Big
Grant Jerrett,Grant Jerrett,PF,UTA,51,24,9-Jun,250,Pick + Pop Bigs,0.325,D,0.061,F,0.12,F,0.013,F,0.369,D+,0.15,F,0.369,D+,0.443,C-,0.043,F,0.323,D,0.643,B-,0.261,Low,0.042,Low,2014-15,Big
Gal Mekel,Gal Mekel,PG,DAL,43,21,10-Jun,232,,0.234,D-,0.022,F,0.132,F,0.044,F,0,F,0.682,B,0,F,0.598,C+,0.137,F,0.024,F,0.079,F,0.346,Low,0.5556,High,2014-15,Guard
Glen Rice,Glen Rice,SG,WAS,43,27,3-Jun,191,Movement Wings,0.278,D,0.034,F,0.087,F,0.105,F,0,F,0.079,F,0.4,D+,0.31,D,0.059,F,0.556,C+,0.032,F,0.215,Low,0.25,Medium,2014-15,Wing
Darius Miller,Darius Miller,SF,NOP,43,24,6-Jun,206,Primary Creators,0.211,D-,0.026,F,0.099,F,0,F,0,F,0.018,F,0,F,0.408,C-,0.11,F,0.01,F,0.028,F,0.025,Low,0.5,High,2014-15,Wing
Andrei Kirilenko,Andrei Kirilenko,SF,BRK,36,25,8-Jun,225,Tall Creators,0.002,F,0.039,F,0.045,F,0.01,F,0.213,D-,0.02,F,0,F,0.359,D+,0.396,D+,0.467,C,0.497,C,0.026,Low,0.1754,Low,2014-15,Wing
Jerel McNeal,Jerel McNeal,PG,PHO,36,34,9-Jun,235,Spot-up Wings,0.289,D,0.053,F,0.103,F,0.004,F,0,F,0.113,F,0,F,0,F,0.104,F,0.026,F,0.026,F,0.21,Low,0.3704,Medium,2014-15,Guard
David Stockton,David Stockton,PG,SAC,33,28,3-Jun,200,Primary Creators,0.291,D,0.051,F,0.091,F,0.019,F,0,F,0.753,B+,0,F,0.704,B,0.41,C-,0.014,F,0.016,F,0.284,Low,0.7143,High,2014-15,Guard
Patrick Christopher,Patrick Christopher,SG,MEM,29,24,11-May,165,,0.236,D-,0.02,F,0.049,F,0.025,F,0,F,0.089,F,0,F,0.548,C+,0.114,F,0.383,D+,0.152,F,0.163,Low,0.0893,Low,2014-15,Wing
Bruno Caboclo,Bruno Caboclo,SF,TOR,23,27,-,-,Secondary Creators,0.315,D,0.024,F,0.075,F,0.029,F,0.158,F,0.095,F,0,F,0.204,D-,0.067,F,0.343,D+,0.099,F,0.255,Low,0.3788,Medium,2014-15,Wing
Lucas Nogueira,Lucas Nogueira,C,TOR,23,19,9-Jun,205,Roll + Cut Bigs,0.002,F,0.067,F,0.039,F,0.027,F,0.359,D+,0.083,F,0,F,0.555,C+,0.078,F,0.335,D,0.775,B+,0.17,Low,0.1111,Low,2014-15,Big
Miroslav Raduljica,Miroslav Raduljica,C,MIN,23,22,7-0,220,Roll + Cut Bigs,0.002,F,0.093,F,0,F,0.015,F,0.274,D,0.118,F,0,F,0.429,C-,0.104,F,0.29,D,0.073,F,0.147,Low,0.2,Low,2014-15,Big
Andre Dawkins,Andre Dawkins,SG,MIA,22,27,7-0,250,Secondary Creators,0.283,D,0.059,F,0.022,F,0,F,0,F,0.039,F,0,F,0.225,D-,0.357,D+,0.012,F,0.077,F,0.072,Low,0.1923,Low,2014-15,Wing
Toure Murry,Toure' Murry,PG,PHI,18,23,5-Jun,219,,0.002,F,0.018,F,0.095,F,0.038,F,0,F,0.227,D-,0,F,0.503,C,0.127,F,0.294,D,0.008,F,0.232,Low,0.6667,High,2014-15,Guard
Alex Kirk,Alex Kirk,C,CLE,14,25,5-Jun,195,Glue Guys,0.002,F,0.073,F,0.028,F,0.023,F,0,F,0.151,F,0,F,0.231,D-,0.057,F,0.292,D,0.034,F,0.082,Low,0,Low,2014-15,Big
Julius Randle,Julius Randle,PF,LAL,14,23,7-0,245,Mega Creators,0.002,F,0.01,F,0.136,F,0,F,0,F,0.082,F,0,F,0,F,0.033,F,0.022,F,0.002,F,0.109,Low,0.8,High,2014-15,Big
Jamaal Franklin,Jamaal Franklin,SG,DAL,13,20,9-Jun,250,,0.297,D,0.016,F,0.059,F,0,F,0,F,0.381,D+,0,F,0.134,F,0.062,F,0.233,D-,0.047,F,0.231,Low,0.2439,Low,2014-15,Wing
Seth Curry,Seth Curry,PG,PHO,8,23,5-Jun,191,,0.226,D-,0.014,F,0.024,F,0,F,0,F,0.041,F,0,F,0,F,0.24,D-,0.008,F,0.055,F,0.123,Low,0,Low,2014-15,Guard
Tyrus Thomas,Tyrus Thomas,PF,MEM,7,24,2-Jun,185,Pick + Pop Bigs,0.002,F,0.008,F,0.069,F,0,F,0.213,D-,0.387,D+,0,F,0.244,D-,0.068,F,0.004,F,0.006,F,0.106,Low,0,Low,2014-15,Wing
David Wear,David Wear,PF,SAC,7,28,10-Jun,225,Glue Guys,0.171,F,0.012,F,0,F,0.002,F,0,F,0.098,F,0,F,0.178,F,0.059,F,0.254,D-,0.012,F,0.07,Low,0,Low,2014-15,Big
Kalin Lucas,Kalin Lucas,PG,MEM,6,24,10-Jun,230,,0.002,F,0.004,F,0,F,0,F,0,F,0.08,F,0,F,0.612,B-,0.072,F,0.02,F,0.004,F,0.009,Low,0,Low,2014-15,Guard
Sim Bhullar,Sim Bhullar,C,SAC,3,26,1-Jun,186,Versatile Bigs,0.002,F,0.002,F,0,F,0,F,0,F,0.471,C,0.361,D+,0,F,0.073,F,0,F,0.041,F,0.257,Low,0.9524,High,2014-15,Big
Jerrelle Benimon,Jerrelle Benimon,PF,DEN,3,22,5-Jul,360,,0.002,F,0.006,F,0,F,0,F,0,F,0.093,F,0,F,0,F,0.099,F,0.16,F,0.059,F,0.03,Low,0,Low,2014-15,Big
Eric Moreland,Eric Moreland,PF,SAC,2,23,-,-,Glue Guys,0.002,F,0.045,F,0,F,0,F,0,F,0.281,D,0,F,0,F,0.074,F,0,F,0.014,F,0.157,Low,0,Low,2014-15,Wing
Malcolm Lee,Malcolm Lee,SG,PHI,2,23,10-Jun,218,,0.002,F,0,F,0.026,F,0,F,0,F,0.078,F,0,F,0,F,0.078,F,0.016,F,0,F,0.117,Low,0,Low,2014-15,Guard
KJ McDaniels,KJ McDaniels,SF,CHI,0,25,5-Jun,200,,0.557,C+,0.572,C+,0.805,A-,0,F,0.481,C,0.78,B+,0.339,D,0.236,D-,0.886,A-,0.639,B-,0.239,D-,0.402,Low,0.2499,Low,2014-15,Wing
Timothy Hardaway Jr.,Tim Hardaway Jr.,SF,CLE,0,22,6-Jun,205,,0.846,A-,0.633,B-,0.771,B+,0,F,0.347,D+,0.797,B+,0.323,D,0.279,D,0.575,C+,0.105,F,0.339,D,0.569,Medium,0.255,Medium,2014-15,Wing
