Name,Alternate Name,Position,Team,Minutes,Age,Height,Weight,Offensive Role,Perimeter Shot,Grade,Off-Ball Movement,Grade,One on One,Grade,Finishing,Grade,Roll Gravity,Grade,Playmaking,Grade,Post Play,Grade,Perimeter Defense,Grade,Interior Defense,Grade,OReb,Grade,DReb,Grade,Usage,Grade,Self Creation,Grade,Year,Advanced Position
James Harden,James Harden,SG,HOU,"3,040",24,5-Jun,220,Mega Creators,0.913,A,0.904,A,0.956,A,0.839,A-,0.603,B-,0.965,A,0.595,C+,0.598,C+,0.588,C+,0.453,C-,0.524,C,0.966,High,0.71,High,2013-14,Wing
Marcin Gortat,Marcin Gortat,C,WAS,"3,037",30,11-Jun,240,Versatile Bigs,0.228,D-,0.59,C+,0.692,B,0.946,A,0.971,A,0.275,D,0.449,C-,0.181,F,0.95,A,0.696,B,0.861,A-,0.74,Medium,0.327,Medium,2013-14,Big
Chandler Parsons,Chandler Parsons,SF,HOU,"3,033",25,9-Jun,227,Glue Guys,0.9,A,0.759,B+,0.765,B+,0.843,A-,0.873,A-,0.913,A,0.794,B+,0.437,C-,0.356,D+,0.325,D,0.795,B+,0.82,Medium,0.3226,Medium,2013-14,Wing
Joakim Noah,Joakim Noah,C,CHI,"3,030",29,11-Jun,232,Glue Guys,0.187,F,0.584,C+,0.595,C+,0.725,B,0.854,A-,0.925,A,0.561,C+,0.57,C+,0.911,A,0.899,A-,0.828,A-,0.84,Medium,0.2419,Low,2013-14,Big
Bradley Beal,Bradley Beal,SG,WAS,"2,988",21,5-Jun,207,Secondary Creators,0.961,A,0.753,B+,0.538,C,0.521,C,0.389,D+,0.872,A-,0.817,A-,0.701,B,0.492,C,0.377,D+,0.306,D,0.891,High,0.3867,Medium,2013-14,Guard
Carmelo Anthony,Carmelo Anthony,PF,NYK,"2,982",30,8-Jun,235,Tall Creators,0.981,A,0.923,A,0.977,A,0.797,B+,0.894,A-,0.675,B,0.985,A,0.661,B,0.643,B-,0.716,B,0.932,A,0.977,High,0.6585,High,2013-14,Wing
Robin Lopez,Robin Lopez,C,POR,"2,970",26,7-0,255,Roll + Cut Bigs,0.164,F,0.437,C-,0.324,D,0.943,A,0.981,A,0.18,F,0.784,B+,0.334,D,0.954,A,0.93,A,0.497,C,0.564,Medium,0.1422,Low,2013-14,Big
Roy Hibbert,Roy Hibbert,C,IND,"2,951",27,2-Jul,290,Versatile Bigs,0.288,D,0.247,D-,0.462,C,0.603,B-,0.634,B-,0.246,D-,0.599,C+,0.247,D-,0.934,A,0.741,B+,0.234,D-,0.696,Medium,0.4876,Medium,2013-14,Big
LaMarcus Aldridge,LaMarcus Aldridge,PF,POR,"2,939",28,11-Jun,240,Versatile Bigs,0.315,D,0.306,D,0.911,A,0.961,A,0.871,A-,0.818,A-,0.917,A,0.446,C-,0.881,A-,0.749,B+,0.977,A,0.945,High,0.4857,Medium,2013-14,Big
Zach Randolph,Zach Randolph,PF,MEM,"2,939",32,9-Jun,260,Versatile Bigs,0.324,D,0.478,C,0.503,C,0.806,A-,0.699,B,0.851,A-,0.977,A,0.415,C-,0.618,B-,0.824,A-,0.965,A,0.914,High,0.6541,High,2013-14,Big
Tim Duncan,Tim Duncan,C,SAS,"2,910",38,11-Jun,250,Versatile Bigs,0.234,D-,0.532,C,0.773,B+,0.908,A,0.848,A-,0.843,A-,0.983,A,0.243,D-,0.916,A,0.778,B+,0.952,A,0.861,High,0.3764,Medium,2013-14,Big
Dirk Nowitzki,Dirk Nowitzki,PF,DAL,"2,891",36,7-0,245,Versatile Bigs,0.942,A,0.881,A-,0.936,A,0.636,B-,0.786,B+,0.89,A-,0.95,A,0.532,C,0.737,B,0.389,D+,0.946,A,0.927,High,0.4672,Medium,2013-14,Big
Jimmy Butler,Jimmy Butler,SG,CHI,"2,809",24,7-Jun,220,Glue Guys,0.579,C+,0.674,B,0.376,D+,0.523,C,0.844,A-,0.725,B,0.904,A,0.771,B+,0.794,B+,0.561,C+,0.4,D+,0.71,Medium,0.337,Medium,2013-14,Wing
Reggie Jackson,Reggie Jackson,PG,OKC,"2,808",24,3-Jun,208,Primary Creators,0.699,B,0.786,B+,0.919,A,0.708,B,0.574,C+,0.791,B+,0.341,D+,0.52,C,0.611,B-,0.302,D,0.654,B-,0.842,Medium,0.6642,High,2013-14,Guard
Jeff Green,Jeff Green,SF,BOS,"2,805",27,9-Jun,235,Tall Creators,0.761,B+,0.684,B,0.944,A,0.854,A-,0.888,A-,0.34,D+,0.869,A-,0.473,C,0.632,B-,0.211,D-,0.797,B+,0.864,High,0.4809,Medium,2013-14,Wing
Gordon Hayward,Gordon Hayward,SF,UTA,"2,800",24,8-Jun,220,Secondary Creators,0.618,B-,0.266,D,0.626,B-,0.715,B,0.514,C,0.966,A,0.516,C,0.689,B,0.572,C+,0.4,D+,0.82,A-,0.916,High,0.4776,Medium,2013-14,Wing
Kevin Love,Kevin Love,PF,MIN,"2,797",25,10-Jun,243,Versatile Bigs,0.911,A,0.867,A-,0.84,A-,0.965,A,0.948,A,0.957,A,0.996,A,0.312,D,0.261,D,0.756,B+,0.992,A,0.981,High,0.3895,Medium,2013-14,Big
Jeff Teague,Jeff Teague,PG,ATL,"2,784",26,2-Jun,181,Mega Creators,0.635,B-,0.925,A,0.653,B-,0.704,B,0.268,D,0.93,A,0.769,B+,0.725,B,0.525,C,0.176,F,0.321,D,0.952,High,0.7517,High,2013-14,Guard
Kemba Walker,Kemba Walker,PG,CHO,"2,767",24,1-Jun,184,Primary Creators,0.747,B+,0.942,A,0.786,B+,0.362,D+,0.225,D-,0.747,B+,0.183,F,0.74,B,0.55,C+,0.222,D-,0.455,C-,0.962,High,0.6772,High,2013-14,Guard
Paul Millsap,Paul Millsap,PF,ATL,"2,749",29,8-Jun,253,Versatile Bigs,0.722,B,0.397,D+,0.792,B+,0.697,B,0.769,B+,0.921,A,0.603,B-,0.706,B,0.843,A-,0.785,B+,0.855,A-,0.912,High,0.339,Medium,2013-14,Big
Mike Dunleavy,Mike Dunleavy,SF,CHI,"2,747",33,9-Jun,230,Movement Wings,0.896,A-,0.894,A-,0.842,A-,0.451,C-,0.482,C,0.757,B+,0.345,D+,0.606,B-,0.445,C-,0.224,D-,0.545,C+,0.71,Medium,0.09,Low,2013-14,Wing
Josh Smith,Josh Smith,SF,DET,"2,730",28,9-Jun,225,Versatile Bigs,0.577,C+,0.794,B+,0.628,B-,0.974,A,0.784,B+,0.916,A,0.368,D+,0.514,C,0.86,A-,0.553,C+,0.886,A-,0.908,High,0.4126,Medium,2013-14,Wing
Brandon Jennings,Brandon Jennings,PG,DET,"2,728",24,1-Jun,169,Primary Creators,0.78,B+,0.865,A-,0.601,B-,0.37,D+,0.41,C-,0.98,A,0.156,F,0.53,C,0.253,D-,0.306,D,0.166,F,0.949,High,0.686,High,2013-14,Guard
Thaddeus Young,Thaddeus Young,PF,PHI,"2,718",26,8-Jun,230,Glue Guys,0.622,B-,0.522,C,0.767,B+,0.939,A,0.919,A,0.682,B,0.736,B,0.698,B,0.348,D+,0.636,B-,0.313,D,0.9,High,0.3593,Medium,2013-14,Big
Tony Parker,Tony Parker,PG,SAS,"2,716",32,2-Jun,185,,0.645,B-,0.988,A,0.632,B-,0.778,B+,0.308,D,0.762,B+,0.796,B+,0.33,D,0.416,C-,0.083,F,0.337,D,0.923,High,0.6899,High,2013-14,Guard
Mario Chalmers,Mario Chalmers,PG,MIA,"2,713",28,2-Jun,190,Primary Creators,0.834,A-,0.802,A-,0.674,B,0.641,B-,0.605,B-,0.719,B,0.16,F,0.867,A-,0.617,B-,0.242,D-,0.213,D-,0.732,Medium,0.5047,High,2013-14,Guard
Mike Conley,Mike Conley,PG,MEM,"2,713",26,1-Jun,185,Primary Creators,0.768,B+,0.468,C,0.757,B+,0.754,B+,0.414,C-,0.805,A-,0.212,D-,0.616,B-,0.267,D,0.226,D-,0.251,D-,0.939,High,0.6165,High,2013-14,Guard
Greg Monroe,Greg Monroe,PF,DET,"2,690",24,11-Jun,250,Versatile Bigs,0.168,F,0.624,B-,0.933,A,0.915,A,0.738,B,0.738,B,0.503,C,0.459,C-,0.69,B,0.88,A-,0.909,A,0.83,Medium,0.4733,Medium,2013-14,Big
Goran Dragic,Goran Dragic,SG,PHO,"2,668",28,3-Jun,190,Primary Creators,0.956,A,0.738,B,0.755,B+,0.976,A,0.32,D,0.971,A,0.692,B,0.56,C+,0.647,B-,0.53,C,0.219,D-,0.947,High,0.7032,High,2013-14,Guard
Kawhi Leonard,Kawhi Leonard,SF,SAS,"2,659",23,7-Jun,230,Glue Guys,0.803,A-,0.996,A,0.879,A-,0.911,A,0.819,A-,0.671,B,0.927,A,0.838,A-,0.749,B+,0.613,B-,0.911,A,0.673,Medium,0.3771,Medium,2013-14,Wing
Al Jefferson,Al Jefferson,C,CHO,"2,659",29,10-Jun,289,Versatile Bigs,0.301,D,0.79,B+,0.611,B-,0.987,A,0.78,B+,0.822,A-,0.992,A,0.281,D,0.638,B-,0.689,B,0.99,A,0.907,High,0.5955,High,2013-14,Big
Jose Calderon,Jose Calderon,PG,DAL,"2,659",32,3-Jun,211,Secondary Creators,0.998,A,0.838,A-,0.351,D+,0.209,D-,0.364,D+,0.727,B,0.139,F,0.495,C,0.128,F,0.244,D-,0.064,F,0.769,Medium,0.4711,Medium,2013-14,Guard
Kyle Korver,Kyle Korver,SG,ATL,"2,658",33,7-Jun,212,Movement Wings,1,A,0.985,A,0.509,C,0.041,F,0.289,D,0.818,A-,0.133,F,0.581,C+,0.674,B,0.19,F,0.439,C-,0.597,Medium,0.0706,Low,2013-14,Wing
Chris Paul,Chris Paul,PG,LAC,"2,643",29,6-0,175,Primary Creators,0.807,A-,0.896,A-,0.819,A-,0.808,A-,0.328,D,0.984,A,0.879,A-,0.853,A-,0.335,D,0.34,D,0.567,C+,0.941,High,0.8188,High,2013-14,Guard
Ricky Rubio,Ricky Rubio,PG,MIN,"2,638",23,4-Jun,185,Primary Creators,0.583,C+,0.973,A,0.52,C,0.338,D,0.212,D-,0.979,A,0.137,F,0.688,B,0.308,D,0.17,F,0.754,B+,0.838,Medium,0.6683,High,2013-14,Guard
Dwight Howard,Dwight Howard,C,HOU,"2,627",28,11-Jun,265,Versatile Bigs,0.28,D,0.778,B+,0.308,D,1,A,0.992,A,0.398,D+,0.464,C,0.38,D+,0.856,A-,0.952,A,0.921,A,0.87,High,0.6373,High,2013-14,Big
